time,junctionId,approachId,travelTimeSec,freeFlowTravelTimeSec,delaySec,usualDelaySec,stops,queueLengthMeters,volumePerHour,isClosed,stopsHistogram
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,-121630253,20,12,8,4,0.02,154.64,2134,false,"0,92;1,2"
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,-907774907,48,40,8,5,1.36,181.74,423,false,"0,3;1,5;2,5;4,1"
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,1538642990,31,30,1,0,0.5,119.85,53,false,"0,2;1,2"
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,-1602284578,26,24,2,1,0.25,0.0,146,false,"0,3;1,1"
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,351295367,34,32,2,0,0.0,162.12,146,false,
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,-2123692267,54,58,0,0,0.0,0.0,0,false,
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,-126050620,84,84,0,12,0.0,0.0,0,false,
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,-169819262,44,44,0,0,0.0,0.0,0,false,
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,854840755,17,12,5,3,0.0,0.0,1521,false,"0,56"
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,-905435322,85,86,0,13,0.0,0.0,0,false,
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,-724941245,29,27,2,20,0.0,0.0,0,false,
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,-1376818555,20,16,4,1,1.5,126.68,68,false,"0,1;3,1"
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,1708293353,19,16,3,2,0.0,0.0,110,false,"0,3"
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,1397009346,35,34,1,0,0.0,0.0,891,false,
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,-2019703491,31,30,1,1,0.0,0.0,891,false,
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,984027626,13,12,1,1,0.0,0.0,903,false,"0,35"
2025-04-17T03:29:00.883Z,6800743b11220d5a035da621,885468416,42,41,1,0,0.0,0.0,891,false,
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,-1042895084,19,18,1,0,0.0,0.0,435,false,"0,16"
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,1877147528,37,43,0,0,0.0,0.0,0,false,
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,60241608,31,27,4,6,0.0,0.0,0,false,
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,-255119202,33,32,1,2,0.0,0.0,52,false,"0,2"
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,-1071645679,33,34,0,1,0.0,0.0,0,false,
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,1537688405,56,58,0,0,0.0,0.0,0,false,
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,880992861,36,36,0,9,0.0,0.0,0,false,
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,145270064,22,15,7,4,0.05,458.97,1181,false,"0,43;2,1"
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,-1597492084,41,41,0,28,0.0,0.0,0,false,
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,1274388454,84,91,0,0,0.0,0.0,0,false,
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,-1730567285,73,80,0,0,0.0,0.0,0,false,
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,-1187825648,19,17,2,0,0.0,176.7,39,false,"0,1"
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,-121630253,24,12,12,4,0.02,157.07,2183,false,"0,88;1,2"
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,-907774907,49,40,9,5,1.36,183.01,345,false,"0,3;1,5;2,5;4,1"
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,1538642990,31,30,1,0,0.5,121.73,44,false,"0,2;1,2"
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,-1602284578,26,24,2,1,0.25,0.0,148,false,"0,3;1,1"
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,351295367,34,32,2,0,0.0,164.67,148,false,
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,-2123692267,54,58,0,0,0.0,0.0,0,false,
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,-126050620,84,84,0,12,0.0,0.0,0,false,
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,-169819262,44,44,0,0,0.0,0.0,0,false,
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,854840755,16,12,4,3,0.0,0.0,1450,false,"0,54"
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,-905435322,85,86,0,13,0.0,0.0,0,false,
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,-724941245,29,27,2,20,0.0,0.0,0,false,
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,-1376818555,20,16,4,1,1.5,128.67,72,false,"0,1;3,1"
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,1708293353,19,16,3,2,0.0,0.0,112,false,"0,3"
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,1397009346,34,34,0,0,0.0,0.0,824,false,
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,-2019703491,30,30,0,1,0.0,0.0,824,false,
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,984027626,12,12,0,1,0.0,0.0,801,false,"0,39"
2025-04-17T03:30:07.315Z,6800743b11220d5a035da621,885468416,41,41,0,1,0.0,0.0,824,false,
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,-1042895084,20,18,2,0,0.0,0.0,431,false,"0,16"
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,1877147528,37,43,0,0,0.0,0.0,0,false,
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,60241608,31,27,4,6,0.0,0.0,0,false,
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,-255119202,33,32,1,2,0.0,0.0,75,false,"0,3"
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,-1071645679,33,34,0,1,0.0,0.0,0,false,
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,1537688405,56,58,0,0,0.0,0.0,0,false,
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,880992861,36,36,0,9,0.0,0.0,0,false,
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,145270064,18,15,3,4,0.04,228.99,1188,false,"0,44;2,1"
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,-1597492084,41,41,0,28,0.0,0.0,0,false,
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,1274388454,84,91,0,0,0.0,0.0,0,false,
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,-1730567285,73,80,0,0,0.0,0.0,0,false,
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,-1187825648,17,17,0,0,0.0,112.12,39,false,"0,1"
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,-121630253,14,12,2,4,0.02,158.04,2211,false,"0,85;1,2"
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,-907774907,49,40,9,5,1.44,183.51,282,false,"0,2;1,7;2,6;4,1"
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,1538642990,31,30,1,0,0.5,113.27,63,false,"0,1;1,1"
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,-1602284578,26,24,2,1,0.2,0.0,149,false,"0,4;1,1"
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,351295367,33,32,1,0,0.0,165.68,141,false,
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,-2123692267,54,58,0,0,0.0,0.0,0,false,
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,-126050620,84,84,0,12,0.0,0.0,0,false,
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,-169819262,44,44,0,0,0.0,0.0,0,false,
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,854840755,14,12,2,3,0.0,0.0,1436,false,"0,57"
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,-905435322,85,86,0,13,0.0,0.0,0,false,
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,-724941245,29,27,2,21,0.0,0.0,0,false,
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,-1376818555,20,16,4,1,1.5,129.46,74,false,"0,1;3,1"
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,1708293353,19,16,3,2,0.0,0.0,99,false,"0,3"
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,1397009346,34,34,0,0,0.0,0.0,870,false,
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,-2019703491,30,30,0,1,0.0,0.0,870,false,
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,984027626,12,12,0,1,0.0,0.0,861,false,"0,36"
2025-04-17T03:31:01.847Z,6800743b11220d5a035da621,885468416,41,41,0,1,0.0,0.0,870,false,
